order_id,customer_id,order_date,category,price_per_unit,quantity,total_amount,discount_rate,final_amount,payment_method,order_status,review_score,city,delivery_days,review_missing_flag,delivery_days_missing_flag
ORD004075,CUST02620,2023-01-31,Beauty,119555.64,1,119555.64,0.15,101622.29,E-Wallet,Delivered,3.0,Surabaya,5.0,0,0
ORD012965,CUST00001,2022-10-28,Books,741208.25,1,741208.25,0.5,370604.12,Debit Card,Delivered,4.0,Makassar,10.0,0,0
ORD005195,CUST00617,2021-07-07,Books,802713.58,4,3210854.32,0.05,3050311.6,Debit Card,Delivered,3.0,Semarang,2.0,0,0
ORD016297,CUST01443,2021-02-15,Electronics,69355.32,1,69355.32,0.25,52016.49,Bank Transfer,Delivered,2.0,Tangerang,10.0,0,0
ORD008249,CUST04829,2022-06-24,Beauty,312076.95,4,1248307.8,0.0,1248307.8,COD,Delivered,4.0,Medan,11.0,0,0
ORD005850,CUST03776,2022-08-17,Health,558641.1,20,11172822.0,0.0,11172822.0,Credit Card,Shipped,3.0,Tangerang,,0,1
ORD005226,CUST04292,2023-09-09,Beauty,45449.47,2,90898.94,0.0,90898.94,Bank Transfer,Delivered,5.0,Surabaya,1.0,0,0
ORD012224,CUST02760,2022-10-27,Home & Living,172444.48,2,344888.96,0.5,172444.48,Bank Transfer,Delivered,1.0,Bogor,9.0,0,0
ORD003887,CUST04735,2021-09-10,Beauty,36556.57,1,36556.57,0.25,27417.43,Credit Card,Delivered,2.0,Bogor,10.0,0,0
ORD004521,CUST00005,2022-01-07,Home & Living,109981.06,1,109981.06,0.1,98982.95,COD,Delivered,3.0,Semarang,6.0,0,0
ORD007179,CUST04059,2021-09-13,Health,51266.75,2,102533.5,0.5,51266.75,COD,Delivered,2.0,Bogor,5.0,0,0
ORD009865,CUST04304,2023-06-24,F&B,875588.5,5,4377942.5,0.5,2188971.25,COD,Delivered,4.0,Palembang,5.0,0,0
ORD019292,CUST00822,2022-05-20,Fashion,519323.9,1,519323.9,0.15,441425.32,E-Wallet,Delivered,5.0,Surabaya,7.0,0,0
ORD008288,CUST01522,2023-08-15,Electronics,73586.33,2,147172.66,0.5,73586.33,Bank Transfer,Delivered,4.0,Tangerang,7.0,0,1
ORD019790,CUST01726,2022-04-18,Automotive,59441.02,4,237764.08,0.0,237764.08,Credit Card,Delivered,4.0,Jakarta,8.0,1,0
ORD011582,CUST02912,2021-03-13,Electronics,160459.27,1,160459.27,0.2,128367.42,E-Wallet,Delivered,3.0,Bandung,2.0,0,0
ORD016296,CUST02933,2023-11-12,Toys,306745.77,100,306745.77,0.15,260733.9,Credit Card,Delivered,4.0,Tangerang,11.0,0,0
ORD005043,CUST04007,2021-03-29,Home & Living,112567.07,5,562835.35,0.5,281417.67,Credit Card,Delivered,5.0,Palembang,13.0,0,0
ORD003942,CUST02290,2023-01-06,Sports,2001311.21,1,2001311.21,0.0,2001311.21,COD,Delivered,5.0,Surabaya,4.0,0,0
ORD019345,CUST02750,2023-12-04,Home & Living,99163.64,5,495818.2,0.05,471027.29,Bank Transfer,Delivered,5.0,Unknown,7.0,0,0
ORD003166,CUST00363,2021-11-15,Automotive,521455.62,5,2607278.1,0.0,2607278.1,E-Wallet,Delivered,5.0,Medan,12.0,0,0
ORD005145,CUST01791,2023-06-20,Beauty,36140.62,4,144562.48,0.05,137334.36,Bank Transfer,Delivered,5.0,Depok,5.0,0,0
ORD011492,CUST03522,2022-10-11,Toys,171538.92,2,343077.84,0.0,343077.84,Bank Transfer,Delivered,5.0,Makassar,3.0,0,0
ORD005964,CUST03720,2021-08-07,Automotive,184780.6,1,184780.6,0.25,138585.45,Debit Card,Processing,4.0,Bogor,,0,1
ORD008590,CUST01545,2023-01-16,Health,998078.65,1,998078.65,0.05,948174.72,Debit Card,Delivered,1.0,Bandung,3.0,0,0
ORD002268,CUST01119,2021-02-16,Toys,119162.08,10,1191620.8,0.25,893715.6,COD,Delivered,3.0,Bogor,5.0,0,0
ORD013048,CUST04560,2023-08-17,Automotive,28101.42,3,84304.26,0.2,67443.41,E-Wallet,Delivered,5.0,Unknown,14.0,0,0
ORD017066,CUST02370,2021-12-29,Toys,111096.79,1,111096.79,0.0,88877.43,Debit Card,Processing,5.0,Jakarta,,0,1
ORD006053,CUST04809,2021-02-01,Health,452986.78,1,452986.78,0.05,430337.44,Credit Card,Processing,4.0,Makassar,,0,1
ORD006979,CUST02202,2023-04-18,Toys,231768.0,1,231768.0,0.5,115884.0,E-Wallet,Shipped,3.0,Semarang,,0,1
ORD003687,CUST03392,2021-09-27,Toys,71481.22,3,214443.66,0.15,182277.11,COD,Delivered,4.0,Bogor,7.0,0,1
ORD015499,CUST00532,2022-11-11,Books,68645.68,1,68645.68,0.05,65213.4,E-Wallet,Processing,4.0,Depok,,0,1
ORD013769,CUST01608,2023-01-04,Toys,85412.97,4,341651.88,0.15,290404.1,COD,Delivered,2.0,Semarang,14.0,0,0
ORD019968,CUST02228,2021-12-28,Sports,242572.56,1,242572.56,0.5,121286.28,Credit Card,Delivered,5.0,Bandung,13.0,0,0
ORD005826,CUST04371,2023-09-02,Automotive,138357.88,1,138357.88,0.0,138357.88,E-Wallet,Delivered,5.0,Surabaya,6.0,0,0
ORD003705,CUST04350,2021-10-29,Home & Living,211518.3,1,211518.3,0.05,200942.38,COD,Processing,4.0,Depok,,0,1
ORD018296,CUST03746,2023-08-07,Fashion,765459.1,3,2296377.3,0.0,2296377.3,Debit Card,Processing,5.0,Jakarta,,0,1
ORD017394,CUST02208,2023-11-09,Home & Living,1000.0,1,131506.06,0.2,105204.85,Debit Card,Delivered,5.0,Tangerang,3.0,0,0
ORD007102,CUST00498,2023-11-04,Automotive,257439.65,2,514879.3,0.0,514879.3,E-Wallet,Processing,5.0,Bogor,,0,1
ORD019914,CUST00931,2022-07-04,Books,494733.71,1,494733.71,0.2,395786.97,E-Wallet,Shipped,4.0,Jakarta,,0,1
ORD014725,CUST01850,2022-10-30,Sports,88326.97,4,353307.88,0.15,300311.7,Credit Card,Delivered,4.0,Depok,9.0,0,0
ORD003520,CUST03711,2023-10-21,Electronics,250829.83,1,250829.83,0.1,225746.85,Bank Transfer,Delivered,4.0,Unknown,8.0,0,0
ORD015537,CUST02848,2022-01-19,Books,167468.64,2,334937.28,0.05,318190.42,COD,Processing,5.0,Depok,,0,1
ORD015791,CUST04615,2023-06-21,Home & Living,72247.34,2,144494.68,0.0,144494.68,Debit Card,Delivered,5.0,Surabaya,7.0,0,1
ORD005395,CUST00357,2021-10-09,Health,11649.27,1,11649.27,0.15,9901.88,Credit Card,Shipped,5.0,Medan,,0,1
ORD008584,CUST03968,2022-01-08,Toys,61768.2,2,123536.4,0.5,61768.2,Credit Card,Delivered,4.0,Palembang,10.0,0,0
ORD010116,CUST04569,2023-01-20,F&B,99355.95,1,99355.95,0.1,89420.35,Bank Transfer,Delivered,4.0,Depok,13.0,0,0
ORD010388,CUST00973,2022-10-19,Beauty,30607.03,10,306070.3,0.05,290766.78,E-Wallet,Shipped,4.0,Semarang,,1,1
ORD015189,CUST00914,2021-09-25,Home & Living,403628.56,10,4036285.6,0.3,2825399.92,COD,Shipped,4.0,Tangerang,,0,1
ORD012688,CUST03969,2022-08-06,Health,1132242.42,1,1132242.42,0.0,1132242.42,Unknown,Delivered,3.0,Tangerang,4.0,0,0
ORD007790,CUST00964,2022-10-10,Fashion,97032.25,1,97032.25,0.0,97032.25,E-Wallet,Delivered,5.0,Jakarta,10.0,0,0
ORD003972,CUST02910,2022-02-08,Toys,99044.65,5,495223.25,0.0,495223.25,Bank Transfer,Delivered,2.0,Makassar,12.0,0,0
ORD008207,CUST04285,2022-01-19,F&B,342874.6,1,342874.6,0.5,171437.3,Credit Card,Processing,4.0,Jakarta,,0,1
ORD009424,CUST04252,2021-11-28,Home & Living,94624.97,1,94624.97,0.0,94624.97,Bank Transfer,Delivered,5.0,Bandung,9.0,0,0
ORD013195,CUST04194,2021-10-16,Automotive,261125.36,3,783376.08,0.0,783376.08,Bank Transfer,Delivered,4.0,Surabaya,7.0,1,0
ORD017284,CUST02338,2023-01-13,Health,114203.86,1,114203.86,0.0,114203.86,Credit Card,Delivered,4.0,Palembang,14.0,0,0
ORD014882,CUST02795,2022-06-04,F&B,329000.54,1,329000.54,0.25,246750.4,Bank Transfer,Processing,4.0,Bogor,,0,1
ORD002459,CUST01067,2023-07-22,Home & Living,20117.27,2,40234.54,0.0,40234.54,Unknown,Cancelled,5.0,Unknown,,0,1
ORD019294,CUST03105,2021-06-23,Sports,516512.77,1,516512.77,0.0,516512.77,E-Wallet,Delivered,5.0,Tangerang,10.0,0,0
ORD008077,CUST02558,2023-03-31,Toys,97401.7,4,389606.8,0.0,389606.8,Bank Transfer,Shipped,4.0,Tangerang,,0,1
ORD008493,CUST02521,2023-06-06,Electronics,384713.99,3,1154141.97,0.05,1096434.87,Credit Card,Delivered,4.0,Jakarta,7.0,0,1
ORD009013,CUST01534,2021-04-01,Health,168892.62,2,337785.24,0.2,270228.19,Bank Transfer,Cancelled,5.0,Tangerang,,0,1
ORD018507,CUST02840,2023-07-03,Sports,63791.64,20,1275832.8,0.0,1275832.8,Credit Card,Delivered,3.0,Semarang,14.0,0,0
ORD014624,CUST04398,2021-12-20,Beauty,194223.78,20,3884475.6,0.0,3884475.6,Bank Transfer,Delivered,3.0,Medan,4.0,0,0
ORD009401,CUST04962,2021-12-22,Automotive,833880.88,3,2501642.64,0.0,2501642.64,Unknown,Delivered,3.0,Bandung,6.0,0,0
ORD013370,CUST03988,2021-03-01,Health,136020.86,2,272041.72,0.3,190429.2,Credit Card,Shipped,3.0,Tangerang,,0,1
ORD019623,CUST00825,2021-01-04,Home & Living,720572.44,1,720572.44,0.2,576457.95,E-Wallet,Delivered,3.0,Tangerang,9.0,0,0
ORD002513,CUST01202,2022-04-02,Fashion,81143.98,1,81143.98,0.0,77086.78,Unknown,Delivered,5.0,Bogor,5.0,0,0
ORD005048,CUST00552,2022-03-23,Fashion,95421.99,2,190843.98,0.05,181301.78,Bank Transfer,Delivered,4.0,Tangerang,12.0,1,0
ORD015817,CUST01311,2022-11-21,F&B,196186.75,1,196186.75,0.0,98093.38,Bank Transfer,Delivered,2.0,Depok,8.0,0,0
ORD005166,CUST02032,2021-08-06,Home & Living,91924.69,1,91924.69,0.0,91924.69,E-Wallet,Delivered,4.0,Depok,4.0,1,0
ORD010501,CUST03600,2022-05-18,Automotive,120117.03,1,120117.03,0.0,120117.03,Bank Transfer,Cancelled,4.0,Bogor,,0,1
ORD012839,CUST04006,2022-04-23,Health,138959.74,2,277919.48,0.0,277919.48,Credit Card,Delivered,2.0,Jakarta,5.0,0,0
ORD008159,CUST00617,2022-06-14,Sports,124907.03,1,124907.03,0.5,62453.51,Debit Card,Delivered,4.0,Surabaya,5.0,0,0
ORD017051,CUST03996,2021-05-02,Sports,81873.22,1,81873.22,0.15,69592.24,E-Wallet,Processing,1.0,Bandung,,0,1
ORD016086,CUST02007,2023-06-25,Home & Living,101695.71,1,101695.71,0.3,71187.0,Credit Card,Cancelled,4.0,Jakarta,,0,1
ORD002468,CUST04732,2022-04-04,Fashion,100184.18,1,100184.18,0.0,100184.18,Debit Card,Delivered,4.0,Medan,9.0,0,0
ORD006062,CUST02807,2022-02-06,F&B,213536.93,1,213536.93,0.25,160152.7,E-Wallet,Delivered,2.0,Medan,6.0,0,0
ORD001148,CUST02612,2021-08-09,Health,36786.64,2,73573.28,0.2,58858.62,Bank Transfer,Delivered,3.0,Surabaya,7.0,0,1
ORD004326,CUST03445,2023-10-10,Electronics,79507.58,3,238522.74,0.0,238522.74,Debit Card,Processing,5.0,Depok,,0,1
ORD005631,CUST00139,2023-06-08,Home & Living,112959.67,2,225919.34,0.05,214623.37,E-Wallet,Delivered,4.0,Depok,2.0,1,0
ORD010194,CUST02435,2021-05-29,Toys,19205.31,2,38410.62,0.0,38410.62,Unknown,Shipped,4.0,Palembang,,0,1
ORD018703,CUST03203,2021-05-31,Beauty,1121598.08,10,11215980.8,0.0,8972784.64,E-Wallet,Shipped,4.0,Depok,,1,1
ORD017103,CUST04285,2022-05-07,Sports,84339.08,2,168678.16,0.15,143376.44,Credit Card,Delivered,5.0,Surabaya,13.0,0,0
ORD002715,CUST03712,2021-11-25,Health,359094.72,1,359094.72,0.25,269321.04,E-Wallet,Delivered,3.0,Depok,13.0,0,0
ORD005000,CUST01536,2023-05-13,Beauty,197268.82,1,197268.82,0.0,197268.82,COD,Delivered,1.0,Surabaya,7.0,0,1
ORD019956,CUST00251,2021-01-18,F&B,151328.63,3,453985.89,0.15,385888.01,Bank Transfer,Delivered,3.0,Surabaya,11.0,0,0
ORD004983,CUST03279,2021-02-22,Home & Living,19500.82,1,19500.82,0.3,13650.57,COD,Delivered,1.0,Depok,11.0,0,0
ORD002725,CUST02850,2021-03-02,Health,492973.32,2,985946.64,0.0,985946.64,Bank Transfer,Delivered,2.0,Tangerang,8.0,0,0
ORD007153,CUST02868,2021-03-27,Home & Living,1736002.97,1,1736002.97,0.15,1475602.52,COD,Delivered,4.0,Tangerang,4.0,0,0
ORD019269,CUST00153,2022-01-04,Health,90718.51,2,181437.02,0.0,181437.02,COD,Returned,1.0,Bandung,,0,1
ORD005208,CUST03780,2021-08-02,Home & Living,96684.8,2,193369.6,0.0,193369.6,Bank Transfer,Delivered,4.0,Tangerang,1.0,0,0
ORD016832,CUST03001,2023-10-22,Toys,86308.55,1,86308.55,0.15,73362.27,Debit Card,Delivered,1.0,Palembang,3.0,0,0
ORD006259,CUST02365,2022-05-27,Toys,2477572.81,2,4955145.62,0.1,4459631.06,Unknown,Delivered,4.0,Semarang,7.0,0,0
ORD009964,CUST04510,2022-09-28,Health,291931.3,3,875793.9,0.0,875793.9,Bank Transfer,Processing,2.0,Semarang,,0,1
ORD005372,CUST03622,2023-01-08,F&B,108778.14,1,108778.14,0.15,92461.42,Debit Card,Shipped,5.0,Surabaya,,0,1
ORD018641,CUST01277,2021-12-12,Books,49457.15,2,98914.3,0.5,49457.15,Debit Card,Processing,5.0,Semarang,,0,1
ORD002560,CUST01169,2022-09-03,Beauty,408191.44,1,408191.44,0.05,387781.87,Credit Card,Delivered,4.0,Bandung,4.0,0,0
ORD010205,CUST04518,2022-07-15,Books,2051200.65,3,6153601.95,0.25,4615201.46,Bank Transfer,Delivered,4.0,Bandung,11.0,1,0
ORD007349,CUST01529,2023-10-11,Home & Living,747892.66,1,747892.66,0.0,747892.66,Credit Card,Shipped,3.0,Bogor,,0,1
ORD004848,CUST00491,2022-01-10,Fashion,71587.2,1,71587.2,0.0,71587.2,E-Wallet,Shipped,5.0,Palembang,,0,1
ORD018706,CUST03481,2023-07-05,F&B,490662.8,2,981325.6,0.0,981325.6,Credit Card,Delivered,3.0,Jakarta,13.0,0,0
ORD010791,CUST01772,2021-09-04,Automotive,235095.62,3,705286.86,0.0,705286.86,COD,Cancelled,3.0,Tangerang,,0,1
ORD007662,CUST02126,2023-11-20,Home & Living,177955.36,2,355910.72,0.25,266933.04,Debit Card,Shipped,5.0,Semarang,,0,1
ORD010670,CUST03700,2023-10-10,Beauty,298831.8,10,2988318.0,0.1,2689486.2,E-Wallet,Delivered,5.0,Depok,11.0,0,0
ORD002389,CUST03618,2021-10-31,Electronics,24943.26,1,24943.26,0.0,24943.26,Bank Transfer,Processing,4.0,Jakarta,,0,1
ORD000504,CUST02783,2023-07-29,Toys,243129.17,2,486258.34,0.25,364693.76,Credit Card,Delivered,2.0,Medan,11.0,0,0
ORD003801,CUST02887,2022-03-07,Books,194222.09,3,582666.27,0.3,407866.39,Credit Card,Delivered,4.0,Bandung,11.0,0,0
ORD002190,CUST02446,2022-11-08,Sports,133980.73,2,267961.46,0.05,254563.39,Bank Transfer,Shipped,4.0,Semarang,,0,1
ORD002982,CUST01948,2021-04-08,Sports,358923.74,3,1076771.22,0.5,538385.61,Debit Card,Delivered,5.0,Palembang,11.0,0,0
ORD012286,CUST01984,2023-03-14,F&B,530042.4,1,530042.4,0.0,530042.4,Bank Transfer,Delivered,3.0,Makassar,1.0,0,0
ORD004150,CUST04468,2022-02-18,Sports,88735.23,10,887352.3,0.0,887352.3,Credit Card,Delivered,5.0,Jakarta,1.0,0,0
ORD012558,CUST02000,2023-01-18,Health,150510.46,1,150510.46,0.0,150510.46,Bank Transfer,Cancelled,2.0,Surabaya,,0,1
ORD012105,CUST01287,2023-07-20,Electronics,199982.38,10,1999823.8,0.2,1599859.04,Bank Transfer,Returned,3.0,Tangerang,,0,1
ORD003636,CUST04765,2023-05-12,Books,480255.93,3,1440767.79,0.0,1440767.79,Debit Card,Delivered,5.0,Makassar,1.0,0,0
ORD012530,CUST00102,2021-10-16,Sports,353605.5,1,353605.5,0.0,353605.5,E-Wallet,Shipped,3.0,Palembang,,0,1
ORD003711,CUST02756,2023-01-19,Home & Living,220683.48,1,220683.48,0.3,154478.44,Credit Card,Delivered,5.0,Semarang,8.0,0,0
ORD012420,CUST02176,2023-11-29,Home & Living,238296.75,2,476593.5,0.15,405104.47,E-Wallet,Delivered,4.0,Makassar,12.0,0,0
ORD018952,CUST03034,2023-02-23,Books,169480.64,3,508441.92,0.2,406753.54,Unknown,Delivered,4.0,Tangerang,14.0,1,0
ORD011551,CUST00620,2022-05-01,Books,82077.43,1,82077.43,0.0,82077.43,E-Wallet,Delivered,4.0,Depok,12.0,0,0
ORD012217,CUST04336,2022-10-03,Books,203704.18,1,203704.18,0.0,203704.18,Debit Card,Delivered,4.0,Depok,7.0,0,0
ORD015974,CUST00907,2023-10-14,Automotive,24570.65,2,49141.3,0.0,49141.3,E-Wallet,Delivered,4.0,Semarang,14.0,1,0
ORD004473,CUST03705,2023-12-12,Fashion,117659.99,1,117659.99,0.05,111776.99,Debit Card,Cancelled,5.0,Medan,,0,1
ORD012051,CUST01452,2022-09-29,Health,40696.98,4,162787.92,0.05,154648.52,E-Wallet,Delivered,5.0,Jakarta,9.0,0,0
ORD012106,CUST00303,2023-07-14,Books,1505790.49,2,3011580.98,0.15,2559843.83,Bank Transfer,Delivered,5.0,Bogor,1.0,0,0
ORD011733,CUST02724,2022-06-08,Books,65952.56,20,1319051.2,0.0,1319051.2,Bank Transfer,Delivered,4.0,Bandung,8.0,0,0
ORD017033,CUST01343,2021-04-24,Automotive,100845.68,20,2016913.6,0.15,1714376.56,Debit Card,Processing,5.0,Palembang,,0,1
ORD010514,CUST02763,2023-01-18,Books,48016.77,3,144050.31,0.3,100835.22,Credit Card,Delivered,3.0,Bogor,12.0,0,0
ORD000439,CUST01781,2022-02-16,Home & Living,294190.11,3,882570.33,0.15,750184.78,Credit Card,Returned,5.0,Bandung,,0,1
ORD009533,CUST02041,2021-07-10,F&B,301238.46,1,301238.46,0.0,240990.77,Credit Card,Delivered,1.0,Bandung,5.0,0,0
ORD005720,CUST01004,2021-07-24,Health,560467.5,3,1681402.5,0.0,1681402.5,E-Wallet,Processing,4.0,Depok,,0,1
ORD004227,CUST02222,2021-05-02,Automotive,211218.73,2,422437.46,0.0,422437.46,Debit Card,Delivered,1.0,Semarang,7.0,0,1
ORD015017,CUST00541,2021-12-11,Toys,167885.89,4,671543.56,0.1,604389.2,Bank Transfer,Shipped,4.0,Surabaya,,0,1
ORD016279,CUST04336,2021-09-08,Sports,24911.97,3,74735.91,0.0,74735.91,E-Wallet,Delivered,4.0,Makassar,6.0,1,0
ORD017625,CUST02267,2021-08-31,Sports,168786.29,2,337572.58,0.05,320693.95,E-Wallet,Delivered,5.0,Bandung,2.0,0,0
ORD005378,CUST02560,2022-06-29,Health,103070.29,1,103070.29,0.1,92763.26,COD,Delivered,3.0,Palembang,12.0,0,0
ORD017440,CUST02630,2023-06-18,Health,115266.42,5,576332.1,0.2,461065.68,Credit Card,Shipped,4.0,Jakarta,,0,1
ORD007661,CUST01249,2022-02-06,Home & Living,1382961.02,1,1382961.02,0.25,1037220.77,Bank Transfer,Delivered,4.0,Semarang,5.0,1,0
ORD019258,CUST04947,2023-05-07,Health,53292.36,1,53292.36,0.05,50627.74,Debit Card,Shipped,4.0,Bandung,,1,1
ORD016812,CUST00743,2023-04-19,F&B,39990.52,1,39990.52,0.2,31992.42,E-Wallet,Returned,4.0,Jakarta,,0,1
ORD008214,CUST00302,2021-11-20,F&B,59897.5,1,59897.5,0.0,59897.5,COD,Delivered,5.0,Surabaya,7.0,0,1
ORD005749,CUST04638,2023-01-29,Beauty,306705.48,1,306705.48,0.0,306705.48,COD,Shipped,5.0,Makassar,,0,1
ORD010282,CUST01022,2021-10-20,Fashion,39408.12,1,39408.12,0.3,27585.68,E-Wallet,Delivered,4.0,Medan,10.0,0,0
ORD011579,CUST04440,2022-06-03,Electronics,77851.99,1,77851.99,0.2,62281.59,Debit Card,Returned,5.0,Makassar,,0,1
ORD010422,CUST04475,2023-06-19,Home & Living,290045.88,1,290045.88,0.0,290045.88,Credit Card,Delivered,5.0,Depok,2.0,0,0
ORD005761,CUST01484,2021-03-27,Health,104775.25,2,209550.5,0.2,167640.4,COD,Delivered,4.0,Surabaya,5.0,1,0
ORD001902,CUST01902,2021-05-29,Home & Living,1423509.66,1,1423509.66,0.0,1423509.66,Unknown,Delivered,4.0,Jakarta,6.0,1,0
ORD005358,CUST04831,2022-10-29,Fashion,92847.49,1,92847.49,0.2,74277.99,E-Wallet,Delivered,5.0,Depok,14.0,0,0
ORD012308,CUST00989,2022-10-08,Fashion,99759.87,1,99759.87,0.0,99759.87,Bank Transfer,Delivered,4.0,Bandung,9.0,0,0
ORD001490,CUST00434,2023-01-04,Health,283742.31,3,851226.93,0.0,851226.93,E-Wallet,Delivered,4.0,Bandung,12.0,0,0
ORD011720,CUST03540,2023-11-11,Electronics,480823.62,1,480823.62,0.0,480823.62,Debit Card,Delivered,4.0,Bandung,8.0,0,0
ORD013151,CUST04930,2021-10-17,Sports,137764.29,2,275528.58,0.2,220422.86,COD,Delivered,4.0,Surabaya,3.0,0,0
